Task,GPU,Framework,Dataset,Accuracy
Regression,V100,Auto-Keras,boston,4481.69
Regression,V100,Tpot,boston,2637.44
Regression,V100,H2O,boston,2567.23
Regression,V100,auto-WEKA,boston,2678.98
Regression,V100,Auto-Keras,PUMA8NH,88.611
Regression,V100,Tpot,PUMA8NH,1.4006
Regression,V100,H2O,PUMA8NH,4.98
Regression,V100,auto-WEKA,PUMA8NH,3.29
Regression,V100,Auto-Keras,stock,1160.92
Regression,V100,Tpot,stock,942.14
Regression,V100,H2O,stock,870.56
Regression,V100,auto-WEKA,stock,890.32
